N,Город,Зарплата_в_месяц,Изменение_зарплаты_за_12_месяцев,Должность,exp,current_job_exp,Язык_программирования,Специализация,Возраст,Пол,Образование,Университет,Еще_студент,Уровень_английского,Размер_компании,Тип_компании,Предметная_область
2,Uzhorod,18000,1,System Architect,10.0,10.0,Ruby/Rails,,67,female,Еще студент,КНУСА,True,элементарный,свыше 1000 человек,Продуктовая,"Adtech, Agriculture, AR/VR"
3,Kharkiv,18000,80,Senior Software Engineer,8.0,8.0,Other,,29,female,Высшее,ХНУРЭ,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Internet of Things, Media, Mobile"
4,Odessa,17000,-20,QA Engineer,3.0,2.0,,Manual QA,26,female,Высшее,ОНАС,False,выше среднего,до 50 человек,Стартап,Mobile
5,Dnipro,14250,1250,Team/Technical Lead,10.0,4.0,C#/.NET,,74,female,Два высших,КНУ им. Шевченко,False,продвинутый,до 200 человек,Аутсорсинговая,"E-commerce, Fintech, Hardware"
6,Kyiv,14000,1000,Senior Software Engineer,7.0,1.0,Python,,25,male,Незаконченное высшее,НАУ,False,продвинутый,до 10 человек,Стартап,"Big Data, Blockchain, Fintech"
8,Lviv,12000,-100,Support,3.0,3.0,,,25,female,Высшее,Lvivская Политехника,False,выше среднего,до 1000 человек,Аутсорсинговая,Інша
9,Kyiv,12000,3000,Senior Software Engineer,10.0,0.0,Kotlin,,36,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 50 человек,Стартап,Mobile
10,Kyiv,12000,4000,Director of Engineering / Program Director,7.0,2.0,,,30,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 200 человек,Продуктовая,"E-commerce, Media"
12,Kyiv,11000,3000,Director of Engineering / Program Director,10.0,3.0,,,47,male,Высшее,Other вуз,False,выше среднего,до 200 человек,Продуктовая,"Big Data, Data Science, High Load Systems"
13,Kyiv,10300,0,Senior Software Engineer,9.0,3.0,PHP,,29,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 10 человек,Продуктовая,E-commerce
14,Kyiv,10000,0,Team/Technical Lead,10.0,1.0,Java,,38,male,Высшее,,False,средний,до 200 человек,Продуктовая,High Load Systems
15,Kyiv,10000,4000,Director of Engineering / Program Director,7.0,6.0,,,34,female,Кандидат,КНУ им. Шевченко,False,продвинутый,до 1000 человек,Аутсорсинговая,Cloud Computing
16,Kyiv,10000,-1800,Director of Engineering / Program Director,10.0,1.0,,,37,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 50 человек,Продуктовая,"Hardware, Internet of Things, Machine Learning"
17,Lviv,10000,0,Director of Engineering / Program Director,10.0,10.0,,,41,male,Два высших,Lvivская Политехника,False,продвинутый,до 1000 человек,Аутсорсинговая,Manufacturing
19,Kyiv,9950,3000,Director of Engineering / Program Director,10.0,0.5,,,35,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 50 человек,Стартап,Інша
22,Kyiv,9000,500,Director of Engineering / Program Director,10.0,9.0,,,38,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 50 человек,Аутсорсинговая,"Embedded, Telecom"
23,Kyiv,9000,2000,DevOps,10.0,0.5,,,30,male,Высшее,,False,продвинутый,до 50 человек,Продуктовая,Інша
24,Kyiv,9000,2000,System Architect,6.0,4.0,Python,,32,male,Кандидат,Other вуз,False,продвинутый,свыше 1000 человек,Другая,Cloud Computing
25,Kyiv,9000,1000,Director of Engineering / Program Director,10.0,4.0,,,34,male,Среднее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Продуктовая,ERP
26,Kyiv,9000,3000,Product Manager,3.0,1.0,,,20,male,Высшее,НАУ,False,продвинутый,до 10 человек,Продуктовая,Blockchain
27,Kyiv,8700,5700,DevOps,3.0,1.0,,,27,male,Высшее,НТУУ «КПИ»,False,средний,свыше 1000 человек,Аутсорсинговая,"Blockchain, Cloud Computing, High Load Systems"
28,Kyiv,8600,1100,Senior Software Engineer,10.0,2.0,C#/.NET,,33,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 10 человек,Продуктовая,Cloud Computing
29,Kyiv,8500,1000,Senior Software Engineer,8.0,2.0,JavaScript,,30,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 50 человек,Стартап,"Big Data, Data Science, E-commerce"
30,Kyiv,8500,4000,Director of Engineering / Program Director,10.0,0.25,,,36,male,Высшее,ВНУ им. Даля,False,продвинутый,до 200 человек,Аутстаффинговая,"GameDev, High Load Systems"
33,Kyiv,8384,4200,Sales manager,2.0,2.0,,,21,male,Еще студент,НАУ,True,выше среднего,до 10 человек,Аутсорсинговая,"Fintech, Logistics"
34,Kyiv,8300,0,Senior Software Engineer,7.0,2.0,TypeScript,,28,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 10 человек,Стартап,"Logistics, Medtech"
36,Kyiv,8100,0,Director of Engineering / Program Director,10.0,5.0,,,33,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 50 человек,Продуктовая,Інша
38,Kyiv,8000,3000,Senior Software Engineer,9.0,2.0,TypeScript,,29,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Gambling, Media"
39,Kyiv,8000,2500,Team/Technical Lead,6.0,0.25,C#/.NET,,24,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Fintech, High Load Systems, Mobile"
40,Lviv,8000,-100,Junior QA engineer,2.0,0.5,,Manual QA,23,female,Незаконченное высшее,,False,средний,до 10 человек,Продуктовая,E-commerce
41,Kyiv,8000,0,Senior Software Engineer,9.0,4.0,Clojure,,28,male,Высшее,КНУСА,False,выше среднего,до 200 человек,Продуктовая,"Blockchain, Fintech, Mobile"
42,Kyiv,8000,1500,System Architect,10.0,0.5,C#/.NET,,45,male,Высшее,,False,выше среднего,до 50 человек,Аутстаффинговая,"Cloud Computing, E-commerce"
45,Kyiv,8000,3000,Director of Engineering / Program Director,10.0,7.0,,,32,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 200 человек,Продуктовая,Інша
46,Kyiv,8000,2000,HR,9.0,1.0,,,30,female,Высшее,КНУ им. Шевченко,False,продвинутый,до 1000 человек,Продуктовая,GameDev
47,Kyiv,8000,500,Director of Engineering / Program Director,10.0,1.0,,,34,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 50 человек,Аутсорсинговая,Logistics
49,Vinnytsia,8000,8000,QA Engineer,0.5,0.0,,Manual QA,23,female,Два высших,ХНУ им. Каразина,False,средний,до 1000 человек,Аутсорсинговая,GameDev
50,Kyiv,8000,0,Senior Software Engineer,5.0,0.5,TypeScript,,24,male,Высшее,Other вуз,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Інша
51,Kyiv,8000,0,System Architect,10.0,2.0,Java,,36,male,Высшее,Other вуз,False,средний,до 200 человек,Аутстаффинговая,Telecom
52,Kyiv,8000,0,Senior Software Engineer,10.0,2.0,Ruby/Rails,,33,male,Высшее,ДонНУ им. Васыля Стуса,False,продвинутый,до 10 человек,Продуктовая,Cloud Computing
53,Other,7800,800,System Architect,9.0,5.0,Python,,29,female,Высшее,НТУУ «КПИ»,False,выше среднего,до 1000 человек,Продуктовая,Logistics
54,Kyiv,7600,300,Software Engineer,10.0,1.0,Objective-C,,34,male,Высшее,ДонНТУ,False,продвинутый,свыше 1000 человек,Продуктовая,Internet of Things
55,Kyiv,7600,1000,Director of Engineering / Program Director,10.0,10.0,,,36,male,Высшее,НТУУ «КПИ»,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Fintech
56,Kyiv,7500,400,Director of Engineering / Program Director,10.0,2.0,,,30,male,Высшее,Other вуз,False,продвинутый,до 50 человек,Продуктовая,"Big Data, High Load Systems, Mobile"
57,Mykolaiv,7500,1000,DevOps,8.0,3.0,,,30,male,Высшее,Other вуз,False,средний,до 50 человек,Продуктовая,"Automotive, Big Data, Logistics"
58,Dnipro,7500,500,Senior Project manager / Program Manager,10.0,10.0,,,40,male,Высшее,,False,выше среднего,до 50 человек,Продуктовая,"Fintech, High Load Systems"
59,Kropyvnytskyi,7500,100,Junior Software Engineer,0.0,0.5,1С,,21,female,Техникум / Колледж,ЗНТУ,False,элементарный,до 10 человек,Другая,"Manufacturing, Travel, Uberfication"
63,Kyiv,7500,4000,Senior Software Engineer,10.0,0.5,C#/.NET,,33,male,Высшее,НТУУ «КПИ»,False,средний,до 200 человек,Аутсорсинговая,Insurance
64,Kyiv,7500,0,Senior Software Engineer,3.0,0.5,C#/.NET,,29,male,Два высших,КНУ им. Шевченко,False,продвинутый,свыше 1000 человек,Аутсорсинговая,"Logistics, Medtech"
66,Kyiv,7400,800,Director of Engineering / Program Director,10.0,0.25,,,40,male,Высшее,НТУУ «КПИ»,False,продвинутый,свыше 1000 человек,Аутстаффинговая,"Fintech, Gambling"
70,Kyiv,7250,250,Team/Technical Lead,8.0,2.0,Golang,,32,male,Высшее,НАУ,False,продвинутый,до 200 человек,Продуктовая,"High Load Systems, Security"
71,Kyiv,7200,2450,Project manager,10.0,0.5,,,34,male,Высшее,ЧНУ им. Федьковича,False,продвинутый,до 10 человек,Стартап,E-commerce
73,Kyiv,7200,720,Senior Software Engineer,6.0,1.0,Swift,,26,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 10 человек,Продуктовая,E-commerce
74,Kyiv,7200,1000,Senior Software Engineer,6.0,1.0,JavaScript,,31,male,Высшее,Other вуз,False,продвинутый,до 1000 человек,Аутстаффинговая,E-commerce
75,Kyiv,7150,500,Director of Engineering / Program Director,6.0,0.5,,,30,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Аутстаффинговая,Telecom
76,Kyiv,7125,500,Director of Engineering / Program Director,6.0,0.5,,,30,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Аутстаффинговая,Telecom
77,Kyiv,7100,0,Team/Technical Lead,10.0,3.0,Golang,,42,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 200 человек,Аутстаффинговая,E-commerce
78,Kyiv,7100,4350,Senior Software Engineer,10.0,1.0,Ruby/Rails,,37,male,Высшее,Other вуз,False,средний,до 50 человек,Продуктовая,E-commerce
79,Kyiv,7100,1500,DevOps,10.0,1.0,,,33,male,Высшее,ХНУРЭ,False,продвинутый,до 50 человек,Продуктовая,Fintech
81,Kyiv,7000,0,Marketing,10.0,4.0,,,39,female,Высшее,КНУ им. Шевченко,False,продвинутый,свыше 1000 человек,Продуктовая,Gambling
82,Kyiv,7000,2000,Senior Software Engineer,7.0,1.0,Ruby/Rails,,24,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 50 человек,Продуктовая,Інша
83,Kyiv,7000,0,Director of Engineering / Program Director,10.0,1.0,,,37,male,Два высших,НТУ «ХПИ»,False,выше среднего,до 10 человек,Продуктовая,Fintech
84,Kyiv,7000,0,Team/Technical Lead,10.0,3.0,Scala,,31,male,Высшее,Other вуз,False,выше среднего,до 50 человек,Продуктовая,"Adtech, Big Data, High Load Systems"
85,Mykolaiv,7000,800,DevOps,5.0,2.0,,,28,male,Высшее,ЧГУ им. Петра Могилы,False,средний,до 50 человек,Аутсорсинговая,"Cloud Computing, Logistics"
86,Kyiv,7000,1500,Director of Engineering / Program Director,8.0,0.5,,,31,male,Кандидат,НТУУ «КПИ»,False,выше среднего,до 50 человек,Продуктовая,Інша
88,Kyiv,7000,0,Team/Technical Lead,10.0,1.0,C#/.NET,,31,male,Высшее,ДонНТУ,False,выше среднего,до 200 человек,Продуктовая,Security
89,Kyiv,7000,500,System Architect,10.0,0.5,PHP,,34,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Продуктовая,E-commerce
91,Kyiv,7000,0,Senior Software Engineer,10.0,0.0,Ruby/Rails,,34,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 10 человек,Продуктовая,E-commerce
92,Kyiv,7000,1000,Team/Technical Lead,10.0,5.0,C#/.NET,,37,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Продуктовая,Інша
93,Kyiv,7000,0,Marketing,5.0,3.0,,,29,male,Высшее,КНЭУ,False,продвинутый,до 10 человек,Аутсорсинговая,"Blockchain, E-commerce, Media"
94,Kyiv,7000,2000,Senior Software Engineer,6.0,1.0,Scala,,25,male,Высшее,Other вуз,False,выше среднего,до 1000 человек,Продуктовая,Інша
96,Kyiv,7000,0,Senior Software Engineer,10.0,6.0,PHP,,35,male,Незаконченное высшее,,False,продвинутый,до 10 человек,Продуктовая,"E-commerce, Media, Інша"
97,Kyiv,7000,0,Data Scientist,5.0,3.0,,,37,male,Высшее,ХНУРЭ,False,продвинутый,свыше 1000 человек,Аутсорсинговая,"Big Data, Data Science, Machine Learning"
98,Kyiv,7000,500,Senior Software Engineer,6.0,1.0,JavaScript,,40,male,Высшее,КНЭУ,False,выше среднего,до 1000 человек,Аутстаффинговая,"E-commerce, Gambling, High Load Systems"
